Coherence,Response 1,Response 2,Response 3,Response 4,Response 5,Response 6,Response 7,Response 8,Response 9,Response 10
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-0.562341,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-0.316228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-0.177828,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-0.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,1,-1,-1,1,-1
0.1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
0.177828,-1,-1,-1,-1,1,1,-1,-1,-1,-1
0.316228,-1,-1,1,-1,-1,-1,1,-1,-1,1
0.562341,1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
,-1,-1,-1,-1,-1,1,-1,-1,1,-1
,1,-1,-1,-1,-1,1,-1,-1,-1,1
,1,-1,-1,-1,-1,-1,-1,-1,1,-1
,1,-1,-1,1,-1,-1,-1,1,1,-1
,1,-1,-1,-1,-1,-1,-1,-1,1,1
,1,1,-1,1,-1,1,1,1,-1,-1
,-1,1,1,-1,1,1,-1,-1,1,-1
,1,-1,1,-1,1,1,1,1,-1,1
,1,1,-1,1,1,1,-1,1,1,1
,1,1,1,-1,1,1,-1,1,1,1
,1,1,1,1,-1,1,-1,1,1,1
,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,-1,1,1,1
,1,1,1,1,1,-1,-1,-1,1,1
,1,-1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,-1
,1,1,1,1,-1,1,-1,1,1,-1
,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1
