DP junc turn attend pos x y z roty obj
NaN NaN +0 0 -1 -03.65 0 +02.50 -045 f21
000 000 -1 0 -1 -03.65 0 +10.50 -045 f27
001 004 -1 1 -1 -09.50 0 +11.35 -135 v32
000 000 +1 0 -1 -10.35 0 +05.50 +135 f01
001 003 +1 1 +1 -17.50 0 +04.65 -045 v14
000 000 -1 0 -1 -19.65 0 +10.50 -045 f40
001 003 -1 0 +1 -25.50 0 +12.65 -045 f34
000 000 +1 1 +1 -27.65 0 +05.50 +225 v06
001 004 +1 1 +1 -33.50 0 +04.65 -045 v25
000 000 -1 1 -1 -35.65 0 +10.50 -045 v30
001 004 -1 0 +1 -41.50 0 +12.65 -045 f26
000 000 +1 0 +1 -43.65 0 +05.50 +225 f22
001 003 +1 0 +1 -49.50 0 +04.65 -045 f07
000 000 -1 0 +1 -50.35 0 +10.50 +045 f33
001 003 -1 1 -1 -57.50 0 +11.35 -135 v45
000 000 +1 1 +1 -59.65 0 +05.50 +225 v39
001 004 +1 0 +1 -65.50 0 +04.65 -045 f20
NaN NaN -1 1 -1 -67.65 0 +10.50 -045 v19
NaN NaN -1 1 -1 -74.00 0 +11.35 -135 v27
NaN NaN +0 0 -1 -74.35 0 +05.50 +135 f04
NaN NaN +0 0 +1 -75.65 0 -02.50 +225 f16
NaN NaN -1 1 +1 -75.65 0 -10.50 +225 v09
NaN NaN -1 0 +1 -68.50 0 -12.65 +135 f35
001 004 +1 0 -1 -67.65 0 -05.50 -045 f02
000 000 +1 1 -1 -60.50 0 -03.35 +045 v44
001 003 -1 0 -1 -58.35 0 -10.50 +135 f39
000 000 -1 1 +1 -52.50 0 -12.65 +135 v08
001 003 +1 0 -1 -51.65 0 -05.50 -045 f15
000 000 +1 0 +1 -44.50 0 -04.65 +135 f19
001 004 -1 0 -1 -42.35 0 -10.50 +135 f25
000 000 -1 1 +1 -36.50 0 -12.65 +135 v31
001 004 +1 1 -1 -35.65 0 -05.50 -045 v02
000 000 +1 1 -1 -28.50 0 -03.35 +045 v33
001 003 -1 1 +1 -27.65 0 -10.50 +225 v36
000 000 -1 0 +1 -20.50 0 -12.65 +135 f44
001 003 +1 1 -1 -19.65 0 -05.50 -045 v22
000 000 +1 0 -1 -12.50 0 -03.35 +045 f09
001 004 -1 1 +1 -11.65 0 -10.50 +225 v28
000 000 -1 1 -1 -04.50 0 -11.35 +045 v20
NaN NaN +0 1 +1 -02.35 0 -05.50 +045 v35
