DP junc turn attend pos x y z roty obj
NaN NaN +0 1 +1 -02.35 0 +02.50 +045 v23
000 000 -1 0 -1 -03.65 0 +10.50 -045 f37
001 003 -1 1 +1 -09.50 0 +12.65 -045 v26
000 000 +1 1 +1 -11.65 0 +05.50 +225 v13
001 004 +1 0 -1 -17.50 0 +03.35 -135 f28
000 000 -1 1 +1 -18.35 0 +10.50 +045 v40
001 004 -1 1 +1 -25.50 0 +12.65 -045 v44
000 000 +1 0 +1 -27.65 0 +05.50 +225 f32
001 003 +1 0 -1 -33.50 0 +03.35 -135 f15
000 000 -1 0 +1 -34.35 0 +10.50 +045 f21
001 003 -1 0 +1 -41.50 0 +12.65 -045 f16
000 000 +1 1 -1 -42.35 0 +05.50 +135 v04
001 004 +1 1 +1 -49.50 0 +04.65 -045 v20
000 000 -1 1 -1 -51.65 0 +10.50 -045 v37
001 004 -1 0 +1 -57.50 0 +12.65 -045 f11
000 000 +1 0 -1 -58.35 0 +05.50 +135 f24
001 003 +1 1 +1 -65.50 0 +04.65 -045 v10
NaN NaN -1 1 -1 -67.65 0 +10.50 -045 v30
NaN NaN -1 0 +1 -74.00 0 +12.65 -045 f09
NaN NaN +0 1 -1 -74.35 0 +05.50 +135 v46
NaN NaN +0 0 +1 -75.65 0 -02.50 +225 f13
NaN NaN -1 1 -1 -74.35 0 -10.50 +135 v38
NaN NaN -1 0 -1 -68.50 0 -11.35 +045 f22
001 003 +1 1 -1 -67.65 0 -05.50 -045 v12
000 000 +1 1 +1 -60.50 0 -04.65 +135 v43
001 004 -1 1 -1 -58.35 0 -10.50 +135 v11
000 000 -1 0 -1 -52.50 0 -11.35 +045 f18
001 004 +1 1 -1 -51.65 0 -05.50 -045 v05
000 000 +1 0 -1 -44.50 0 -03.35 +045 f44
001 003 -1 1 -1 -42.35 0 -10.50 +135 v01
000 000 -1 1 +1 -36.50 0 -12.65 +135 v47
001 003 +1 0 +1 -34.35 0 -05.50 +045 f02
000 000 +1 1 -1 -28.50 0 -03.35 +045 v27
001 004 -1 0 -1 -26.35 0 -10.50 +135 f05
000 000 -1 1 -1 -20.50 0 -11.35 +045 v17
001 004 +1 0 +1 -18.35 0 -05.50 +045 f20
000 000 +1 0 +1 -12.50 0 -04.65 +135 f46
001 003 -1 0 -1 -10.35 0 -10.50 +135 f43
000 000 -1 0 +1 -04.50 0 -12.65 +135 f48
NaN NaN +0 0 +1 -02.35 0 -05.50 +045 f03
