DP junc turn attend pos x y z roty obj
NaN NaN +0 1 +1 -02.35 0 +02.50 +045 v01
000 000 -1 0 -1 -03.65 0 +10.50 -045 f26
001 004 -1 1 -1 -09.50 0 +11.35 -135 v05
000 000 +1 0 -1 -10.35 0 +05.50 +135 f31
001 003 +1 0 -1 -17.50 0 +03.35 -135 f02
000 000 -1 0 +1 -18.35 0 +10.50 +045 f39
001 003 -1 0 -1 -25.50 0 +11.35 -135 f16
000 000 +1 1 +1 -27.65 0 +05.50 +225 v13
001 004 +1 0 +1 -33.50 0 +04.65 -045 f05
000 000 -1 0 -1 -35.65 0 +10.50 -045 f48
001 004 -1 1 +1 -41.50 0 +12.65 -045 v39
000 000 +1 0 -1 -42.35 0 +05.50 +135 f46
001 003 +1 1 +1 -49.50 0 +04.65 -045 v42
000 000 -1 0 +1 -50.35 0 +10.50 +045 f28
001 003 -1 1 +1 -57.50 0 +12.65 -045 v30
000 000 +1 1 +1 -59.65 0 +05.50 +225 v07
001 004 +1 1 +1 -65.50 0 +04.65 -045 v41
NaN NaN -1 0 -1 -67.65 0 +10.50 -045 f43
NaN NaN -1 0 +1 -74.00 0 +12.65 -045 f10
NaN NaN +0 1 -1 -74.35 0 +05.50 +135 v43
NaN NaN +0 1 +1 -75.65 0 -02.50 +225 v45
NaN NaN -1 0 -1 -74.35 0 -10.50 +135 f37
NaN NaN -1 0 +1 -68.50 0 -12.65 +135 f33
001 004 +1 0 -1 -67.65 0 -05.50 -045 f07
000 000 +1 0 +1 -60.50 0 -04.65 +135 f19
001 003 -1 1 -1 -58.35 0 -10.50 +135 v29
000 000 -1 1 +1 -52.50 0 -12.65 +135 v36
001 003 +1 1 -1 -51.65 0 -05.50 -045 v20
000 000 +1 1 -1 -44.50 0 -03.35 +045 v27
001 004 -1 0 +1 -43.65 0 -10.50 +225 f41
000 000 -1 1 -1 -36.50 0 -11.35 +045 v21
001 004 +1 1 -1 -35.65 0 -05.50 -045 v02
000 000 +1 0 +1 -28.50 0 -04.65 +135 f45
001 003 -1 0 +1 -27.65 0 -10.50 +225 f38
000 000 -1 1 +1 -20.50 0 -12.65 +135 v14
001 003 +1 0 +1 -18.35 0 -05.50 +045 f44
000 000 +1 1 -1 -12.50 0 -03.35 +045 v48
001 004 -1 0 -1 -10.35 0 -10.50 +135 f20
000 000 -1 1 -1 -04.50 0 -11.35 +045 v26
NaN NaN +0 1 -1 -03.65 0 -05.50 -045 v18
