DP junc turn attend pos x y z roty obj
NaN NaN +0 0 +1 -02.35 0 +02.50 +045 f07
000 000 -1 0 +1 -02.35 0 +10.50 +045 f27
001 004 -1 0 -1 -09.50 0 +11.35 -135 f33
000 000 +1 0 -1 -10.35 0 +05.50 +135 f44
001 003 +1 1 -1 -17.50 0 +03.35 -135 v38
000 000 -1 1 +1 -18.35 0 +10.50 +045 v10
001 003 -1 0 +1 -25.50 0 +12.65 -045 f38
000 000 +1 1 -1 -26.35 0 +05.50 +135 v01
001 004 +1 0 +1 -33.50 0 +04.65 -045 f31
000 000 -1 1 -1 -35.65 0 +10.50 -045 v23
001 004 -1 0 +1 -41.50 0 +12.65 -045 f34
000 000 +1 0 +1 -43.65 0 +05.50 +225 f15
001 003 +1 0 +1 -49.50 0 +04.65 -045 f25
000 000 -1 0 -1 -51.65 0 +10.50 -045 f39
001 003 -1 0 -1 -57.50 0 +11.35 -135 f04
000 000 +1 1 +1 -59.65 0 +05.50 +225 v11
001 004 +1 1 +1 -65.50 0 +04.65 -045 v03
NaN NaN -1 1 -1 -67.65 0 +10.50 -045 v41
NaN NaN -1 1 -1 -74.00 0 +11.35 -135 v40
NaN NaN +0 1 +1 -75.65 0 +05.50 +225 v22
NaN NaN +0 0 +1 -75.65 0 -02.50 +225 f23
NaN NaN -1 0 -1 -74.35 0 -10.50 +135 f30
NaN NaN -1 1 -1 -68.50 0 -11.35 +045 v31
001 004 +1 0 -1 -67.65 0 -05.50 -045 f19
000 000 +1 0 +1 -60.50 0 -04.65 +135 f09
001 003 -1 1 +1 -59.65 0 -10.50 +225 v19
000 000 -1 1 -1 -52.50 0 -11.35 +045 v44
001 003 +1 0 -1 -51.65 0 -05.50 -045 f02
000 000 +1 0 -1 -44.50 0 -03.35 +045 f16
001 004 -1 1 +1 -43.65 0 -10.50 +225 v05
000 000 -1 0 -1 -36.50 0 -11.35 +045 f36
001 004 +1 1 -1 -35.65 0 -05.50 -045 v37
000 000 +1 1 -1 -28.50 0 -03.35 +045 v45
001 003 -1 1 -1 -26.35 0 -10.50 +135 v39
000 000 -1 1 +1 -20.50 0 -12.65 +135 v36
001 003 +1 1 +1 -18.35 0 -05.50 +045 v06
000 000 +1 1 +1 -12.50 0 -04.65 +135 v24
001 004 -1 1 -1 -10.35 0 -10.50 +135 v07
000 000 -1 0 +1 -04.50 0 -12.65 +135 f42
NaN NaN +0 0 +1 -02.35 0 -05.50 +045 f28
