DP junc turn attend pos x y z roty obj
NaN NaN +0 1 +1 -02.35 0 +02.50 +045 v19
000 000 -1 0 +1 -02.35 0 +10.50 +045 f11
001 004 -1 1 +1 -09.50 0 +12.65 -045 v43
000 000 +1 1 +1 -11.65 0 +05.50 +225 v07
001 003 +1 1 +1 -17.50 0 +04.65 -045 v30
000 000 -1 0 -1 -19.65 0 +10.50 -045 f02
001 003 -1 1 +1 -25.50 0 +12.65 -045 v10
000 000 +1 1 -1 -26.35 0 +05.50 +135 v28
001 004 +1 1 -1 -33.50 0 +03.35 -135 v17
000 000 -1 1 -1 -35.65 0 +10.50 -045 v09
001 004 -1 1 -1 -41.50 0 +11.35 -135 v34
000 000 +1 0 -1 -42.35 0 +05.50 +135 f37
001 003 +1 1 -1 -49.50 0 +03.35 -135 v36
000 000 -1 1 -1 -51.65 0 +10.50 -045 v11
001 003 -1 0 +1 -57.50 0 +12.65 -045 f25
000 000 +1 0 +1 -59.65 0 +05.50 +225 f15
001 004 +1 0 +1 -65.50 0 +04.65 -045 f38
NaN NaN -1 1 +1 -66.35 0 +10.50 +045 v01
NaN NaN -1 1 -1 -74.00 0 +11.35 -135 v04
NaN NaN +0 0 -1 -74.35 0 +05.50 +135 f31
NaN NaN +0 0 -1 -74.35 0 -02.50 +135 f44
NaN NaN -1 0 +1 -75.65 0 -10.50 +225 f12
NaN NaN -1 1 -1 -68.50 0 -11.35 +045 v40
001 004 +1 1 +1 -66.35 0 -05.50 +045 v32
000 000 +1 0 +1 -60.50 0 -04.65 +135 f42
001 003 -1 0 -1 -58.35 0 -10.50 +135 f22
000 000 -1 0 +1 -52.50 0 -12.65 +135 f34
001 003 +1 0 -1 -51.65 0 -05.50 -045 f23
000 000 +1 1 +1 -44.50 0 -04.65 +135 v47
001 004 -1 0 +1 -43.65 0 -10.50 +225 f17
000 000 -1 0 -1 -36.50 0 -11.35 +045 f14
001 004 +1 0 -1 -35.65 0 -05.50 -045 f18
000 000 +1 1 -1 -28.50 0 -03.35 +045 v25
001 003 -1 1 -1 -26.35 0 -10.50 +135 v20
000 000 -1 1 +1 -20.50 0 -12.65 +135 v48
001 003 +1 0 +1 -18.35 0 -05.50 +045 f36
000 000 +1 0 -1 -12.50 0 -03.35 +045 f27
001 004 -1 0 -1 -10.35 0 -10.50 +135 f04
000 000 -1 1 +1 -04.50 0 -12.65 +135 v13
NaN NaN +0 0 +1 -02.35 0 -05.50 +045 f05
