DP junc turn attend pos x y z roty obj
NaN NaN +0 1 +1 -02.35 0 +02.50 +045 v27
000 000 -1 1 -1 -03.65 0 +10.50 -045 v08
001 003 -1 1 -1 -09.50 0 +11.35 -135 v14
000 000 +1 0 -1 -10.35 0 +05.50 +135 f39
001 004 +1 0 +1 -17.50 0 +04.65 -045 f35
000 000 -1 0 -1 -19.65 0 +10.50 -045 f30
001 004 -1 1 +1 -25.50 0 +12.65 -045 v35
000 000 +1 0 +1 -27.65 0 +05.50 +225 f33
001 003 +1 0 -1 -33.50 0 +03.35 -135 f32
000 000 -1 1 -1 -35.65 0 +10.50 -045 v22
001 003 -1 0 +1 -41.50 0 +12.65 -045 f08
000 000 +1 1 -1 -42.35 0 +05.50 +135 v02
001 004 +1 1 -1 -49.50 0 +03.35 -135 v45
000 000 -1 0 -1 -51.65 0 +10.50 -045 f47
001 004 -1 0 -1 -57.50 0 +11.35 -135 f48
000 000 +1 1 +1 -59.65 0 +05.50 +225 v06
001 003 +1 0 +1 -65.50 0 +04.65 -045 f10
NaN NaN -1 0 -1 -67.65 0 +10.50 -045 f20
NaN NaN -1 1 -1 -74.00 0 +11.35 -135 v38
NaN NaN +0 0 +1 -75.65 0 +05.50 +225 f40
NaN NaN +0 1 -1 -74.35 0 -02.50 +135 v18
NaN NaN -1 0 +1 -75.65 0 -10.50 +225 f41
NaN NaN -1 1 -1 -68.50 0 -11.35 +045 v29
001 003 +1 1 +1 -66.35 0 -05.50 +045 v23
000 000 +1 1 -1 -60.50 0 -03.35 +045 v26
001 004 -1 0 +1 -59.65 0 -10.50 +225 f06
000 000 -1 1 +1 -52.50 0 -12.65 +135 v21
001 004 +1 1 +1 -50.35 0 -05.50 +045 v42
000 000 +1 0 -1 -44.50 0 -03.35 +045 f45
001 003 -1 1 +1 -43.65 0 -10.50 +225 v16
000 000 -1 0 +1 -36.50 0 -12.65 +135 f26
001 003 +1 1 -1 -35.65 0 -05.50 -045 v12
000 000 +1 1 +1 -28.50 0 -04.65 +135 v03
001 004 -1 1 -1 -26.35 0 -10.50 +135 v31
000 000 -1 0 +1 -20.50 0 -12.65 +135 f29
001 004 +1 0 -1 -19.65 0 -05.50 -045 f16
000 000 +1 0 +1 -12.50 0 -04.65 +135 f28
001 003 -1 0 -1 -10.35 0 -10.50 +135 f43
000 000 -1 1 +1 -04.50 0 -12.65 +135 v05
NaN NaN +0 0 +1 -02.35 0 -05.50 +045 f03
