DP junc turn attend pos x y z roty obj
NaN NaN +0 1 -1 -03.65 0 +02.50 -045 v26
000 000 -1 1 -1 -03.65 0 +10.50 -045 v08
001 003 -1 1 -1 -09.50 0 +11.35 -135 v06
000 000 +1 1 -1 -10.35 0 +05.50 +135 v47
001 004 +1 0 -1 -17.50 0 +03.35 -135 f41
000 000 -1 0 +1 -18.35 0 +10.50 +045 f20
001 004 -1 0 +1 -25.50 0 +12.65 -045 f15
000 000 +1 0 -1 -26.35 0 +05.50 +135 f18
001 003 +1 0 -1 -33.50 0 +03.35 -135 f39
000 000 -1 0 +1 -34.35 0 +10.50 +045 f42
001 003 -1 1 +1 -41.50 0 +12.65 -045 v20
000 000 +1 0 -1 -42.35 0 +05.50 +135 f46
001 004 +1 1 +1 -49.50 0 +04.65 -045 v38
000 000 -1 0 -1 -51.65 0 +10.50 -045 f08
001 004 -1 1 -1 -57.50 0 +11.35 -135 v46
000 000 +1 0 +1 -59.65 0 +05.50 +225 f07
001 003 +1 1 -1 -65.50 0 +03.35 -135 v16
NaN NaN -1 1 -1 -67.65 0 +10.50 -045 v43
NaN NaN -1 0 -1 -74.00 0 +11.35 -135 f14
NaN NaN +0 0 +1 -75.65 0 +05.50 +225 f22
NaN NaN +0 0 +1 -75.65 0 -02.50 +225 f32
NaN NaN -1 1 +1 -75.65 0 -10.50 +225 v03
NaN NaN -1 0 +1 -68.50 0 -12.65 +135 f36
001 003 +1 1 +1 -66.35 0 -05.50 +045 v30
000 000 +1 1 +1 -60.50 0 -04.65 +135 v15
001 004 -1 0 -1 -58.35 0 -10.50 +135 f40
000 000 -1 1 -1 -52.50 0 -11.35 +045 v14
001 004 +1 0 +1 -50.35 0 -05.50 +045 f37
000 000 +1 1 -1 -44.50 0 -03.35 +045 v18
001 003 -1 0 +1 -43.65 0 -10.50 +225 f23
000 000 -1 1 +1 -36.50 0 -12.65 +135 v11
001 003 +1 0 +1 -34.35 0 -05.50 +045 f29
000 000 +1 0 +1 -28.50 0 -04.65 +135 f05
001 004 -1 1 +1 -27.65 0 -10.50 +225 v19
000 000 -1 1 +1 -20.50 0 -12.65 +135 v12
001 004 +1 1 -1 -19.65 0 -05.50 -045 v25
000 000 +1 1 +1 -12.50 0 -04.65 +135 v39
001 003 -1 0 -1 -10.35 0 -10.50 +135 f35
000 000 -1 0 -1 -04.50 0 -11.35 +045 f34
NaN NaN +0 1 -1 -03.65 0 -05.50 -045 v45
