DP junc turn attend pos x y z roty obj
NaN NaN +0 1 +1 -02.35 0 +02.50 +045 v13
000 000 -1 1 -1 -03.65 0 +10.50 -045 v46
001 004 -1 0 +1 -09.50 0 +12.65 -045 f17
000 000 +1 1 -1 -10.35 0 +05.50 +135 v05
001 003 +1 0 -1 -17.50 0 +03.35 -135 f43
000 000 -1 0 +1 -18.35 0 +10.50 +045 f03
001 003 -1 1 +1 -25.50 0 +12.65 -045 v32
000 000 +1 1 +1 -27.65 0 +05.50 +225 v12
001 004 +1 1 +1 -33.50 0 +04.65 -045 v42
000 000 -1 1 -1 -35.65 0 +10.50 -045 v18
001 004 -1 1 +1 -41.50 0 +12.65 -045 v22
000 000 +1 0 -1 -42.35 0 +05.50 +135 f38
001 003 +1 0 +1 -49.50 0 +04.65 -045 f40
000 000 -1 0 +1 -50.35 0 +10.50 +045 f21
001 003 -1 1 -1 -57.50 0 +11.35 -135 v21
000 000 +1 1 +1 -59.65 0 +05.50 +225 v14
001 004 +1 0 +1 -65.50 0 +04.65 -045 f24
NaN NaN -1 1 -1 -67.65 0 +10.50 -045 v27
NaN NaN -1 1 +1 -74.00 0 +12.65 -045 v47
NaN NaN +0 1 -1 -74.35 0 +05.50 +135 v39
NaN NaN +0 0 -1 -74.35 0 -02.50 +135 f11
NaN NaN -1 0 -1 -74.35 0 -10.50 +135 f25
NaN NaN -1 0 +1 -68.50 0 -12.65 +135 f26
001 004 +1 0 -1 -67.65 0 -05.50 -045 f01
000 000 +1 0 -1 -60.50 0 -03.35 +045 f04
001 003 -1 0 -1 -58.35 0 -10.50 +135 f30
000 000 -1 1 +1 -52.50 0 -12.65 +135 v29
001 003 +1 1 +1 -50.35 0 -05.50 +045 v19
000 000 +1 0 +1 -44.50 0 -04.65 +135 f47
001 004 -1 1 -1 -42.35 0 -10.50 +135 v16
000 000 -1 0 -1 -36.50 0 -11.35 +045 f41
001 004 +1 1 -1 -35.65 0 -05.50 -045 v28
000 000 +1 0 +1 -28.50 0 -04.65 +135 f46
001 003 -1 0 +1 -27.65 0 -10.50 +225 f27
000 000 -1 1 +1 -20.50 0 -12.65 +135 v09
001 003 +1 1 -1 -19.65 0 -05.50 -045 v15
000 000 +1 1 -1 -12.50 0 -03.35 +045 v25
001 004 -1 0 -1 -10.35 0 -10.50 +135 f32
000 000 -1 0 -1 -04.50 0 -11.35 +045 f12
NaN NaN +0 0 +1 -02.35 0 -05.50 +045 f23
