DP junc turn attend pos x y z roty obj
NaN NaN +0 1 -1 -03.65 0 +02.50 -045 v09
000 000 -1 0 +1 -02.35 0 +10.50 +045 f46
001 003 -1 0 -1 -09.50 0 +11.35 -135 f06
000 000 +1 0 +1 -11.65 0 +05.50 +225 f21
001 004 +1 0 -1 -17.50 0 +03.35 -135 f11
000 000 -1 1 +1 -18.35 0 +10.50 +045 v35
001 004 -1 0 -1 -25.50 0 +11.35 -135 f05
000 000 +1 1 -1 -26.35 0 +05.50 +135 v29
001 003 +1 1 +1 -33.50 0 +04.65 -045 v12
000 000 -1 1 -1 -35.65 0 +10.50 -045 v43
001 003 -1 1 -1 -41.50 0 +11.35 -135 v04
000 000 +1 0 -1 -42.35 0 +05.50 +135 f32
001 004 +1 1 +1 -49.50 0 +04.65 -045 v13
000 000 -1 0 -1 -51.65 0 +10.50 -045 f14
001 004 -1 0 +1 -57.50 0 +12.65 -045 f20
000 000 +1 0 -1 -58.35 0 +05.50 +135 f40
001 003 +1 1 -1 -65.50 0 +03.35 -135 v46
NaN NaN -1 1 -1 -67.65 0 +10.50 -045 v08
NaN NaN -1 1 -1 -74.00 0 +11.35 -135 v02
NaN NaN +0 0 +1 -75.65 0 +05.50 +225 f48
NaN NaN +0 0 +1 -75.65 0 -02.50 +225 f35
NaN NaN -1 0 +1 -75.65 0 -10.50 +225 f43
NaN NaN -1 0 +1 -68.50 0 -12.65 +135 f17
001 003 +1 0 +1 -66.35 0 -05.50 +045 f29
000 000 +1 0 +1 -60.50 0 -04.65 +135 f13
001 004 -1 1 +1 -59.65 0 -10.50 +225 v18
000 000 -1 0 -1 -52.50 0 -11.35 +045 f18
001 004 +1 1 -1 -51.65 0 -05.50 -045 v34
000 000 +1 1 +1 -44.50 0 -04.65 +135 v47
001 003 -1 1 +1 -43.65 0 -10.50 +225 v30
000 000 -1 1 -1 -36.50 0 -11.35 +045 v21
001 003 +1 0 -1 -35.65 0 -05.50 -045 f41
000 000 +1 1 -1 -28.50 0 -03.35 +045 v33
001 004 -1 1 -1 -26.35 0 -10.50 +135 v17
000 000 -1 0 +1 -20.50 0 -12.65 +135 f37
001 004 +1 0 +1 -18.35 0 -05.50 +045 f08
000 000 +1 1 +1 -12.50 0 -04.65 +135 v32
001 003 -1 0 +1 -11.65 0 -10.50 +225 f12
000 000 -1 1 +1 -04.50 0 -12.65 +135 v26
NaN NaN +0 1 -1 -03.65 0 -05.50 -045 v27
