DP junc turn attend pos x y z roty obj
NaN NaN +0 1 -1 -03.65 0 +02.50 -045 v12
000 000 -1 1 +1 -02.35 0 +10.50 +045 v35
001 003 -1 1 -1 -09.50 0 +11.35 -135 v46
000 000 +1 0 -1 -10.35 0 +05.50 +135 f18
001 004 +1 1 +1 -17.50 0 +04.65 -045 v15
000 000 -1 0 -1 -19.65 0 +10.50 -045 f28
001 004 -1 0 +1 -25.50 0 +12.65 -045 f22
000 000 +1 0 +1 -27.65 0 +05.50 +225 f03
001 003 +1 0 +1 -33.50 0 +04.65 -045 f16
000 000 -1 1 -1 -35.65 0 +10.50 -045 v31
001 003 -1 1 +1 -41.50 0 +12.65 -045 v02
000 000 +1 0 +1 -43.65 0 +05.50 +225 f13
001 004 +1 0 -1 -49.50 0 +03.35 -135 f19
000 000 -1 1 -1 -51.65 0 +10.50 -045 v40
001 004 -1 0 -1 -57.50 0 +11.35 -135 f48
000 000 +1 1 -1 -58.35 0 +05.50 +135 v38
001 003 +1 1 -1 -65.50 0 +03.35 -135 v07
NaN NaN -1 1 +1 -66.35 0 +10.50 +045 v08
NaN NaN -1 0 -1 -74.00 0 +11.35 -135 f43
NaN NaN +0 1 -1 -74.35 0 +05.50 +135 v25
NaN NaN +0 1 +1 -75.65 0 -02.50 +225 v34
NaN NaN -1 0 +1 -75.65 0 -10.50 +225 f10
NaN NaN -1 0 -1 -68.50 0 -11.35 +045 f40
001 003 +1 0 -1 -67.65 0 -05.50 -045 f23
000 000 +1 0 -1 -60.50 0 -03.35 +045 f09
001 004 -1 1 +1 -59.65 0 -10.50 +225 v01
000 000 -1 0 -1 -52.50 0 -11.35 +045 f05
001 004 +1 1 -1 -51.65 0 -05.50 -045 v26
000 000 +1 1 +1 -44.50 0 -04.65 +135 v27
001 003 -1 0 +1 -43.65 0 -10.50 +225 f41
000 000 -1 0 +1 -36.50 0 -12.65 +135 f24
001 003 +1 1 +1 -34.35 0 -05.50 +045 v09
000 000 +1 1 -1 -28.50 0 -03.35 +045 v21
001 004 -1 1 -1 -26.35 0 -10.50 +135 v45
000 000 -1 0 +1 -20.50 0 -12.65 +135 f31
001 004 +1 0 +1 -18.35 0 -05.50 +045 f37
000 000 +1 1 +1 -12.50 0 -04.65 +135 v48
001 003 -1 0 -1 -10.35 0 -10.50 +135 f35
000 000 -1 1 +1 -04.50 0 -12.65 +135 v20
NaN NaN +0 0 +1 -02.35 0 -05.50 +045 f01
