DP junc turn attend pos x y z roty obj
NaN NaN +0 1 -1 -03.65 0 +02.50 -045 v09
000 000 -1 1 +1 -02.35 0 +10.50 +045 v35
001 004 -1 1 -1 -09.50 0 +11.35 -135 v10
000 000 +1 0 +1 -11.65 0 +05.50 +225 f11
001 003 +1 0 -1 -17.50 0 +03.35 -135 f01
000 000 -1 1 +1 -18.35 0 +10.50 +045 v44
001 003 -1 1 +1 -25.50 0 +12.65 -045 v42
000 000 +1 0 +1 -27.65 0 +05.50 +225 f09
001 004 +1 1 -1 -33.50 0 +03.35 -135 v07
000 000 -1 1 -1 -35.65 0 +10.50 -045 v29
001 004 -1 0 +1 -41.50 0 +12.65 -045 f28
000 000 +1 1 +1 -43.65 0 +05.50 +225 v48
001 003 +1 1 +1 -49.50 0 +04.65 -045 v31
000 000 -1 0 -1 -51.65 0 +10.50 -045 f43
001 003 -1 0 -1 -57.50 0 +11.35 -135 f21
000 000 +1 1 +1 -59.65 0 +05.50 +225 v36
001 004 +1 0 -1 -65.50 0 +03.35 -135 f26
NaN NaN -1 0 -1 -67.65 0 +10.50 -045 f03
NaN NaN -1 0 -1 -74.00 0 +11.35 -135 f45
NaN NaN +0 1 +1 -75.65 0 +05.50 +225 v32
NaN NaN +0 1 -1 -74.35 0 -02.50 +135 v40
NaN NaN -1 1 +1 -75.65 0 -10.50 +225 v24
NaN NaN -1 0 +1 -68.50 0 -12.65 +135 f04
001 004 +1 0 +1 -66.35 0 -05.50 +045 f02
000 000 +1 1 -1 -60.50 0 -03.35 +045 v01
001 003 -1 1 -1 -58.35 0 -10.50 +135 v22
000 000 -1 0 -1 -52.50 0 -11.35 +045 f16
001 003 +1 1 -1 -51.65 0 -05.50 -045 v05
000 000 +1 0 -1 -44.50 0 -03.35 +045 f17
001 004 -1 0 -1 -42.35 0 -10.50 +135 f12
000 000 -1 1 -1 -36.50 0 -11.35 +045 v34
001 004 +1 1 +1 -34.35 0 -05.50 +045 v23
000 000 +1 0 -1 -28.50 0 -03.35 +045 f06
001 003 -1 0 +1 -27.65 0 -10.50 +225 f33
000 000 -1 0 +1 -20.50 0 -12.65 +135 f31
001 003 +1 0 +1 -18.35 0 -05.50 +045 f10
000 000 +1 1 -1 -12.50 0 -03.35 +045 v28
001 004 -1 1 +1 -11.65 0 -10.50 +225 v33
000 000 -1 0 +1 -04.50 0 -12.65 +135 f19
NaN NaN +0 0 +1 -02.35 0 -05.50 +045 f38
