DP junc turn attend pos x y z roty obj
NaN NaN +0 1 -1 -03.65 0 +02.50 -045 v04
000 000 -1 0 -1 -03.65 0 +10.50 -045 f34
001 004 -1 1 -1 -09.50 0 +11.35 -135 v36
000 000 +1 0 +1 -11.65 0 +05.50 +225 f04
001 003 +1 0 -1 -17.50 0 +03.35 -135 f02
000 000 -1 1 +1 -18.35 0 +10.50 +045 v03
001 003 -1 0 -1 -25.50 0 +11.35 -135 f27
000 000 +1 1 -1 -26.35 0 +05.50 +135 v24
001 004 +1 1 +1 -33.50 0 +04.65 -045 v17
000 000 -1 0 -1 -35.65 0 +10.50 -045 f46
001 004 -1 0 +1 -41.50 0 +12.65 -045 f47
000 000 +1 1 -1 -42.35 0 +05.50 +135 v14
001 003 +1 1 +1 -49.50 0 +04.65 -045 v11
000 000 -1 1 +1 -50.35 0 +10.50 +045 v06
001 003 -1 1 +1 -57.50 0 +12.65 -045 v10
000 000 +1 1 +1 -59.65 0 +05.50 +225 v22
001 004 +1 0 -1 -65.50 0 +03.35 -135 f29
NaN NaN -1 1 +1 -66.35 0 +10.50 +045 v41
NaN NaN -1 0 +1 -74.00 0 +12.65 -045 f07
NaN NaN +0 1 +1 -75.65 0 +05.50 +225 v18
NaN NaN +0 1 -1 -74.35 0 -02.50 +135 v33
NaN NaN -1 0 -1 -74.35 0 -10.50 +135 f39
NaN NaN -1 0 -1 -68.50 0 -11.35 +045 f32
001 004 +1 0 +1 -66.35 0 -05.50 +045 f17
000 000 +1 0 -1 -60.50 0 -03.35 +045 f36
001 003 -1 1 -1 -58.35 0 -10.50 +135 v44
000 000 -1 0 +1 -52.50 0 -12.65 +135 f44
001 003 +1 0 +1 -50.35 0 -05.50 +045 f14
000 000 +1 0 +1 -44.50 0 -04.65 +135 f21
001 004 -1 1 +1 -43.65 0 -10.50 +225 v05
000 000 -1 1 -1 -36.50 0 -11.35 +045 v29
001 004 +1 1 -1 -35.65 0 -05.50 -045 v32
000 000 +1 0 -1 -28.50 0 -03.35 +045 f30
001 003 -1 0 +1 -27.65 0 -10.50 +225 f15
000 000 -1 0 +1 -20.50 0 -12.65 +135 f20
001 003 +1 1 -1 -19.65 0 -05.50 -045 v28
000 000 +1 1 +1 -12.50 0 -04.65 +135 v23
001 004 -1 0 -1 -10.35 0 -10.50 +135 f26
000 000 -1 1 -1 -04.50 0 -11.35 +045 v19
NaN NaN +0 0 +1 -02.35 0 -05.50 +045 f08
