DP junc turn attend pos x y z roty obj
NaN NaN +0 0 +1 -02.35 0 +02.50 +045 f02
000 000 -1 0 -1 -03.65 0 +10.50 -045 f24
001 003 -1 0 -1 -09.50 0 +11.35 -135 f42
000 000 +1 0 +1 -11.65 0 +05.50 +225 f06
001 004 +1 1 +1 -17.50 0 +04.65 -045 v34
000 000 -1 0 -1 -19.65 0 +10.50 -045 f27
001 004 -1 1 +1 -25.50 0 +12.65 -045 v03
000 000 +1 0 +1 -27.65 0 +05.50 +225 f40
001 003 +1 1 -1 -33.50 0 +03.35 -135 v26
000 000 -1 1 -1 -35.65 0 +10.50 -045 v42
001 003 -1 0 +1 -41.50 0 +12.65 -045 f04
000 000 +1 1 +1 -43.65 0 +05.50 +225 v04
001 004 +1 0 +1 -49.50 0 +04.65 -045 f01
000 000 -1 0 +1 -50.35 0 +10.50 +045 f12
001 004 -1 0 +1 -57.50 0 +12.65 -045 f37
000 000 +1 0 -1 -58.35 0 +05.50 +135 f30
001 003 +1 1 +1 -65.50 0 +04.65 -045 v06
NaN NaN -1 1 -1 -67.65 0 +10.50 -045 v39
NaN NaN -1 0 -1 -74.00 0 +11.35 -135 f10
NaN NaN +0 0 +1 -75.65 0 +05.50 +225 f03
NaN NaN +0 1 +1 -75.65 0 -02.50 +225 v19
NaN NaN -1 0 -1 -74.35 0 -10.50 +135 f13
NaN NaN -1 1 -1 -68.50 0 -11.35 +045 v36
001 003 +1 0 -1 -67.65 0 -05.50 -045 f17
000 000 +1 1 -1 -60.50 0 -03.35 +045 v43
001 004 -1 1 -1 -58.35 0 -10.50 +135 v46
000 000 -1 0 +1 -52.50 0 -12.65 +135 f46
001 004 +1 0 -1 -51.65 0 -05.50 -045 f35
000 000 +1 1 -1 -44.50 0 -03.35 +045 v45
001 003 -1 1 -1 -42.35 0 -10.50 +135 v22
000 000 -1 1 +1 -36.50 0 -12.65 +135 v40
001 003 +1 0 +1 -34.35 0 -05.50 +045 f14
000 000 +1 1 +1 -28.50 0 -04.65 +135 v02
001 004 -1 0 -1 -26.35 0 -10.50 +135 f23
000 000 -1 1 +1 -20.50 0 -12.65 +135 v20
001 004 +1 1 -1 -19.65 0 -05.50 -045 v24
000 000 +1 0 -1 -12.50 0 -03.35 +045 f33
001 003 -1 1 +1 -11.65 0 -10.50 +225 v33
000 000 -1 1 -1 -04.50 0 -11.35 +045 v15
NaN NaN +0 1 +1 -02.35 0 -05.50 +045 v29
