DP junc turn attend pos x y z roty obj
NaN NaN +0 0 +1 -02.35 0 +02.50 +045 f08
000 000 -1 1 -1 -03.65 0 +10.50 -045 v01
001 003 -1 0 -1 -09.50 0 +11.35 -135 f38
000 000 +1 1 -1 -10.35 0 +05.50 +135 v23
001 004 +1 1 +1 -17.50 0 +04.65 -045 v17
000 000 -1 0 +1 -18.35 0 +10.50 +045 f06
001 004 -1 1 -1 -25.50 0 +11.35 -135 v37
000 000 +1 1 -1 -26.35 0 +05.50 +135 v41
001 003 +1 0 +1 -33.50 0 +04.65 -045 f23
000 000 -1 1 +1 -34.35 0 +10.50 +045 v29
001 003 -1 0 +1 -41.50 0 +12.65 -045 f45
000 000 +1 1 +1 -43.65 0 +05.50 +225 v34
001 004 +1 1 -1 -49.50 0 +03.35 -135 v03
000 000 -1 0 -1 -51.65 0 +10.50 -045 f03
001 004 -1 1 +1 -57.50 0 +12.65 -045 v26
000 000 +1 0 +1 -59.65 0 +05.50 +225 f12
001 003 +1 1 -1 -65.50 0 +03.35 -135 v04
NaN NaN -1 0 +1 -66.35 0 +10.50 +045 f28
NaN NaN -1 1 +1 -74.00 0 +12.65 -045 v21
NaN NaN +0 1 -1 -74.35 0 +05.50 +135 v10
NaN NaN +0 1 +1 -75.65 0 -02.50 +225 v05
NaN NaN -1 0 -1 -74.35 0 -10.50 +135 f24
NaN NaN -1 0 -1 -68.50 0 -11.35 +045 f36
001 003 +1 0 -1 -67.65 0 -05.50 -045 f18
000 000 +1 0 +1 -60.50 0 -04.65 +135 f17
001 004 -1 0 -1 -58.35 0 -10.50 +135 f14
000 000 -1 0 -1 -52.50 0 -11.35 +045 f43
001 004 +1 0 +1 -50.35 0 -05.50 +045 f47
000 000 +1 0 -1 -44.50 0 -03.35 +045 f37
001 003 -1 1 -1 -42.35 0 -10.50 +135 v48
000 000 -1 1 -1 -36.50 0 -11.35 +045 v46
001 003 +1 1 +1 -34.35 0 -05.50 +045 v12
000 000 +1 1 +1 -28.50 0 -04.65 +135 v24
001 004 -1 0 +1 -27.65 0 -10.50 +225 f30
000 000 -1 1 +1 -20.50 0 -12.65 +135 v42
001 004 +1 0 -1 -19.65 0 -05.50 -045 f29
000 000 +1 0 -1 -12.50 0 -03.35 +045 f31
001 003 -1 1 +1 -11.65 0 -10.50 +225 v13
000 000 -1 0 +1 -04.50 0 -12.65 +135 f41
NaN NaN +0 1 -1 -03.65 0 -05.50 -045 v16
