DP junc turn attend pos x y z roty obj
NaN NaN +0 1 -1 -03.65 0 +02.50 -045 v35
000 000 -1 0 +1 -02.35 0 +10.50 +045 f02
001 003 -1 1 -1 -09.50 0 +11.35 -135 v20
000 000 +1 1 -1 -10.35 0 +05.50 +135 v11
001 004 +1 0 +1 -17.50 0 +04.65 -045 f18
000 000 -1 0 -1 -19.65 0 +10.50 -045 f48
001 004 -1 1 +1 -25.50 0 +12.65 -045 v04
000 000 +1 1 -1 -26.35 0 +05.50 +135 v07
001 003 +1 0 -1 -33.50 0 +03.35 -135 f06
000 000 -1 1 -1 -35.65 0 +10.50 -045 v02
001 003 -1 0 +1 -41.50 0 +12.65 -045 f13
000 000 +1 0 +1 -43.65 0 +05.50 +225 f19
001 004 +1 0 -1 -49.50 0 +03.35 -135 f07
000 000 -1 0 +1 -50.35 0 +10.50 +045 f20
001 004 -1 0 -1 -57.50 0 +11.35 -135 f05
000 000 +1 1 +1 -59.65 0 +05.50 +225 v33
001 003 +1 1 -1 -65.50 0 +03.35 -135 v44
NaN NaN -1 1 -1 -67.65 0 +10.50 -045 v40
NaN NaN -1 0 +1 -74.00 0 +12.65 -045 f36
NaN NaN +0 0 +1 -75.65 0 +05.50 +225 f34
NaN NaN +0 0 +1 -75.65 0 -02.50 +225 f22
NaN NaN -1 1 -1 -74.35 0 -10.50 +135 v03
NaN NaN -1 1 -1 -68.50 0 -11.35 +045 v30
001 003 +1 0 +1 -66.35 0 -05.50 +045 f14
000 000 +1 0 +1 -60.50 0 -04.65 +135 f35
001 004 -1 1 -1 -58.35 0 -10.50 +135 v43
000 000 -1 1 +1 -52.50 0 -12.65 +135 v10
001 004 +1 1 +1 -50.35 0 -05.50 +045 v45
000 000 +1 0 -1 -44.50 0 -03.35 +045 f10
001 003 -1 1 +1 -43.65 0 -10.50 +225 v37
000 000 -1 1 -1 -36.50 0 -11.35 +045 v17
001 003 +1 1 +1 -34.35 0 -05.50 +045 v34
000 000 +1 1 +1 -28.50 0 -04.65 +135 v38
001 004 -1 0 +1 -27.65 0 -10.50 +225 f33
000 000 -1 1 +1 -20.50 0 -12.65 +135 v01
001 004 +1 1 -1 -19.65 0 -05.50 -045 v23
000 000 +1 0 -1 -12.50 0 -03.35 +045 f31
001 003 -1 0 -1 -10.35 0 -10.50 +135 f09
000 000 -1 0 -1 -04.50 0 -11.35 +045 f42
NaN NaN +0 0 +1 -02.35 0 -05.50 +045 f45
