DP junc turn attend pos x y z roty obj
NaN NaN +0 0 -1 -03.65 0 +02.50 -045 f30
000 000 -1 1 +1 -02.35 0 +10.50 +045 v19
001 004 -1 0 +1 -09.50 0 +12.65 -045 f04
000 000 +1 0 +1 -11.65 0 +05.50 +225 f19
001 003 +1 1 -1 -17.50 0 +03.35 -135 v18
000 000 -1 0 +1 -18.35 0 +10.50 +045 f40
001 003 -1 0 -1 -25.50 0 +11.35 -135 f45
000 000 +1 0 -1 -26.35 0 +05.50 +135 f17
001 004 +1 0 -1 -33.50 0 +03.35 -135 f31
000 000 -1 0 +1 -34.35 0 +10.50 +045 f26
001 004 -1 1 -1 -41.50 0 +11.35 -135 v14
000 000 +1 1 +1 -43.65 0 +05.50 +225 v15
001 003 +1 0 +1 -49.50 0 +04.65 -045 f38
000 000 -1 0 -1 -51.65 0 +10.50 -045 f35
001 003 -1 1 -1 -57.50 0 +11.35 -135 v22
000 000 +1 1 +1 -59.65 0 +05.50 +225 v16
001 004 +1 0 +1 -65.50 0 +04.65 -045 f25
NaN NaN -1 1 +1 -66.35 0 +10.50 +045 v41
NaN NaN -1 1 +1 -74.00 0 +12.65 -045 v06
NaN NaN +0 0 -1 -74.35 0 +05.50 +135 f14
NaN NaN +0 0 +1 -75.65 0 -02.50 +225 f41
NaN NaN -1 1 -1 -74.35 0 -10.50 +135 v03
NaN NaN -1 0 +1 -68.50 0 -12.65 +135 f07
001 004 +1 1 +1 -66.35 0 -05.50 +045 v39
000 000 +1 1 -1 -60.50 0 -03.35 +045 v07
001 003 -1 0 +1 -59.65 0 -10.50 +225 f01
000 000 -1 1 +1 -52.50 0 -12.65 +135 v31
001 003 +1 0 -1 -51.65 0 -05.50 -045 f27
000 000 +1 1 -1 -44.50 0 -03.35 +045 v29
001 004 -1 1 +1 -43.65 0 -10.50 +225 v09
000 000 -1 1 -1 -36.50 0 -11.35 +045 v33
001 004 +1 1 -1 -35.65 0 -05.50 -045 v28
000 000 +1 0 -1 -28.50 0 -03.35 +045 f06
001 003 -1 1 +1 -27.65 0 -10.50 +225 v36
000 000 -1 1 -1 -20.50 0 -11.35 +045 v48
001 003 +1 1 +1 -18.35 0 -05.50 +045 v42
000 000 +1 0 +1 -12.50 0 -04.65 +135 f08
001 004 -1 0 -1 -10.35 0 -10.50 +135 f29
000 000 -1 0 -1 -04.50 0 -11.35 +045 f34
NaN NaN +0 1 -1 -03.65 0 -05.50 -045 v32
