DP junc turn attend pos x y z roty obj
NaN NaN +0 1 +1 -02.35 0 +02.50 +045 v15
000 000 -1 0 -1 -03.65 0 +10.50 -045 f40
001 003 -1 1 +1 -09.50 0 +12.65 -045 v25
000 000 +1 1 -1 -10.35 0 +05.50 +135 v23
001 004 +1 0 +1 -17.50 0 +04.65 -045 f42
000 000 -1 1 +1 -18.35 0 +10.50 +045 v47
001 004 -1 1 +1 -25.50 0 +12.65 -045 v03
000 000 +1 0 +1 -27.65 0 +05.50 +225 f35
001 003 +1 0 +1 -33.50 0 +04.65 -045 f15
000 000 -1 0 -1 -35.65 0 +10.50 -045 f04
001 003 -1 0 -1 -41.50 0 +11.35 -135 f03
000 000 +1 0 -1 -42.35 0 +05.50 +135 f23
001 004 +1 1 +1 -49.50 0 +04.65 -045 v34
000 000 -1 1 -1 -51.65 0 +10.50 -045 v44
001 004 -1 0 -1 -57.50 0 +11.35 -135 f47
000 000 +1 1 +1 -59.65 0 +05.50 +225 v16
001 003 +1 1 -1 -65.50 0 +03.35 -135 v32
NaN NaN -1 0 +1 -66.35 0 +10.50 +045 f01
NaN NaN -1 0 +1 -74.00 0 +12.65 -045 f30
NaN NaN +0 0 -1 -74.35 0 +05.50 +135 f11
NaN NaN +0 1 -1 -74.35 0 -02.50 +135 v19
NaN NaN -1 1 +1 -75.65 0 -10.50 +225 v28
NaN NaN -1 0 -1 -68.50 0 -11.35 +045 f09
001 003 +1 0 -1 -67.65 0 -05.50 -045 f24
000 000 +1 0 -1 -60.50 0 -03.35 +045 f08
001 004 -1 0 +1 -59.65 0 -10.50 +225 f25
000 000 -1 1 +1 -52.50 0 -12.65 +135 v22
001 004 +1 1 -1 -51.65 0 -05.50 -045 v33
000 000 +1 1 +1 -44.50 0 -04.65 +135 v40
001 003 -1 1 -1 -42.35 0 -10.50 +135 v11
000 000 -1 0 +1 -36.50 0 -12.65 +135 f36
001 003 +1 1 +1 -34.35 0 -05.50 +045 v24
000 000 +1 1 -1 -28.50 0 -03.35 +045 v10
001 004 -1 1 -1 -26.35 0 -10.50 +135 v31
000 000 -1 1 -1 -20.50 0 -11.35 +045 v09
001 004 +1 0 -1 -19.65 0 -05.50 -045 f17
000 000 +1 0 +1 -12.50 0 -04.65 +135 f18
001 003 -1 0 +1 -11.65 0 -10.50 +225 f29
000 000 -1 0 +1 -04.50 0 -12.65 +135 f27
NaN NaN +0 1 -1 -03.65 0 -05.50 -045 v12
